row_id,input_name,normalized_name,country_or_territory,location_type,coordinates,main_island,main_island_coordinates,notes,source_url
131,Western,Western Division,Fiji,division,"-17.650000, 177.550000",Viti Levu,"-17.800000, 178.000000",Representative point in western Viti Levu.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
132,Northern,Northern Division,Fiji,division,"-16.600000, 179.100000",Viti Levu,"-17.800000, 178.000000",Representative point on Vanua Levu.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
133,Northern Province,Northern Province,New Caledonia,province,"-20.950000, 165.000000",Grande Terre,"-21.300000, 165.500000",Representative point on northern Grande Terre.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
134,ÃŽles Tuamotu-Gambier,Îles Tuamotu-Gambier,French Polynesia,administrative subdivision,"-18.100000, -140.950000",Tahiti,"-17.650000, -149.450000",Representative point on Hao in the central Tuamotu archipelago.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
135,Alo,Alo,Wallis and Futuna,district/chiefdom,"-14.310000, -178.070000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in the Alo district on Futuna.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
136,Tokelau,Tokelau,Tokelau,country/territory,"-9.168330, -171.809720",Nukunonu,"-9.168330, -171.809720","Country-level point placed on Nukunonu, the central atoll.",https://www.tokelau.org.nz/About%2BUs/Geography.html
137,Tonga,Tonga,Tonga,country,"-21.133333, -175.200000",Tongatapu,"-21.133333, -175.200000",Country-level point placed on Tongatapu.,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
138,Sigave,Sigave,Wallis and Futuna,district/chiefdom,"-14.270000, -178.170000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in western Futuna.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
139,Hihifo,Hihifo,Wallis and Futuna,district,"-13.220000, -176.200000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in northern Wallis.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
140,ÃŽles Australes,Îles Australes,French Polynesia,administrative subdivision,"-23.380000, -149.450000",Tahiti,"-17.650000, -149.450000",Representative point on Tubuai.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
141,ÃŽles du Vent,Îles du Vent,French Polynesia,administrative subdivision,"-17.650000, -149.450000",Tahiti,"-17.650000, -149.450000",Representative point on Tahiti.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
142,ÃŽles Marquises,Îles Marquises,French Polynesia,administrative subdivision,"-8.880000, -140.100000",Tahiti,"-17.650000, -149.450000",Representative point on Nuku Hiva.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
143,Malampa,Malampa,Vanuatu,province,"-16.300000, 167.500000",Efate,"-17.680000, 168.370000",Representative point on Malakula.,https://www.vanuatu.travel/en/about-vanuatu/provinces
144,Shefa,Shefa,Vanuatu,province,"-17.680000, 168.370000",Efate,"-17.680000, 168.370000",Representative point on Efate.,https://www.vanuatu.travel/en/about-vanuatu/provinces
145,Tafea,Tafea,Vanuatu,province,"-19.500000, 169.350000",Efate,"-17.680000, 168.370000",Representative point on Tanna.,https://www.vanuatu.travel/en/about-vanuatu/provinces
146,Tuvalu,Tuvalu,Tuvalu,country,"-8.524444, 179.194444",Funafuti,"-8.524444, 179.194444","Country-level point placed on Funafuti, the capital atoll.",https://whc.unesco.org/en/tentativelists/6707/
147,Central,Central Division,Fiji,division,"-17.945300, 178.246100",Viti Levu,"-17.800000, 178.000000",Representative geographic centre of the division.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
148,Northern,Northern Division,Fiji,division,"-16.600000, 179.100000",Viti Levu,"-17.800000, 178.000000",Representative point on Vanua Levu.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
149,Northern Province,Northern Province,New Caledonia,province,"-20.950000, 165.000000",Grande Terre,"-21.300000, 165.500000",Representative point on northern Grande Terre.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
150,Loyalty Islands,Loyalty Islands Province,New Caledonia,province,"-21.067000, 167.350000",Grande Terre,"-21.300000, 165.500000",Province-level representative point.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
151,New Caledonia,New Caledonia,New Caledonia,territory,"-21.300000, 165.500000",Grande Terre,"-21.300000, 165.500000",Territory-level point placed on Grande Terre.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
152,Nukufetau,Nukufetau,Tuvalu,atoll,"-8.026667, 178.313889",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
153,Hahake,Hahake,Wallis and Futuna,district,"-13.280000, -176.170000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in central/eastern Wallis.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
154,Nanumea,Nanumea,Tuvalu,atoll,"-5.675000, 176.115556",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
155,Eastern,Eastern Division,Fiji,division,"-17.683000, 178.833000",Viti Levu,"-17.800000, 178.000000","Representative point on Ovalau, near Levuka.",https://en.wikipedia.org/wiki/Divisions_of_Fiji
156,Loyalty Islands,Loyalty Islands Province,New Caledonia,province,"-21.067000, 167.350000",Grande Terre,"-21.300000, 165.500000",Province-level representative point.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
157,Central,Central Division,Fiji,division,"-17.945300, 178.246100",Viti Levu,"-17.800000, 178.000000",Representative geographic centre of the division.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
158,Fakaofo,Fakaofo,Tokelau,atoll,"-9.365278, -171.215000",Nukunonu,"-9.168330, -171.809720",,https://www.tokelau.org.nz/About%2BUs/Geography.html
159,Sigave,Sigave,Wallis and Futuna,district/chiefdom,"-14.270000, -178.170000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in western Futuna.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
160,Hahake,Hahake,Wallis and Futuna,district,"-13.280000, -176.170000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in central/eastern Wallis.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
